sample_id	S061_257	S062_258	S063_259	S064_260	S065_261	S066_265	S067_270	S068_272	S069_273	S070_279	S071_280	S181_255	S182_SHXA10	S183_263	S184_SHXA18	S185_266	S186_SHXA14	S145_nCOV001_C	S147_nCoV001EUHM-Draw-1	S149_nCoV002EUHM-Draw-2	S150_nCoV003EUHM-Draw-1	S151_nCoV004EUHM-Draw-1	S152_nCoV006EUHM-Draw-1	S153_nCoV007EUHM-Draw-1	S154_nCoV0010EUHM-Draw-1	S155_nCOV021EUHM	S156_nCOV024EUHM-Draw-1	S157_nCOV0029EUHM	S175_nCoV024EUHM-Draw-2	S176_nCoV025EUHM-Draw-1	S177_nCoV025EUHM-Draw-2	S178_nCoV028EUHM-Draw-1	S179_nCoV033EUHM-Draw-1	S180_nCoV034EUHM-Draw-1
S071_280	57.68753259389475	58.322609818891166	53.80643550702826	58.51071809361715	57.83150641795854	63.35479139002513	59.311686265042745	61.94396889678965	65.38057405045056	52.54759708336263	0	67.99873377294153	71.56367341803268	66.80063372156825	66.26788884633476	66.19510718869243	69.39877011805297	54.5218828370289	72.84268643712676	71.09266421327686	83.84227568283306	88.42357495589626	69.18538169522719	87.79870405319278	94.77208646410318	106.57131710839407	94.98262604176124	89.7649289018876	106.37080723875607	84.25548755294727	81.590626808179593	72.7403533630376	80.16980887316633	93.37898407825452
S181_255	66.37556049511558	73.33279676747343	68.96400077138563	68.12763781446922	68.59336253825359	76.30200335055731	73.1995614955976	72.19541063376643	76.50678740734028	69.52672789986822	67.99873377294153	0	51.86966649582619	44.18523885312361	45.98115757416967	49.98443332901379	51.00700003104204	69.36721879638024	88.73813543964503	80.40349557113035	93.10069174650191	96.22173526744186	79.85985244616884	102.64190274643717	108.06844236416354	115.34857211810666	106.05992992100637	97.73251871522095	111.77974203829612	94.20960397663319	92.62663936387082	84.33020421962223	86.85571447769942	79.90752799074588
S182_SHXA10	67.02124823560081	73.15199736963577	70.86170162911013	65.41961573711718	71.63136201807701	82.35573274940977	68.6400231399046	69.95946612421746	73.84149405225993	73.1173630718574	71.56367341803268	51.86966649582619	0	52.312973665833304	51.15786650285009	55.63185394635038	53.88038427592903	73.78075098628543	90.74436064454565	78.13716525727412	93.89197313239373	96.35560852393512	78.47600750705858	96.20463604485502	113.29743328791835	115.27758284852078	108.38953042510664	94.47002152962258	109.67812040709286	95.38678602439265	89.44867037178628	81.61007749878745	77.74605336042836	78.25226294807882
S183_263	64.700395612555	72.60175329614088	65.3546100912352	63.02453835885675	65.66234685669241	79.26474090430446	69.53785827557682	67.58542741051012	69.08418567263456	67.85399433376088	66.80063372156825	44.18523885312361	52.312973665833304	0	46.235413339822	50.734327323402326	50.79625229510715	72.001451815329915	85.29434163478774	85.69655328039902	95.34809091076717	103.11492187076925	81.36774002186183	101.3483791561885	114.21242321779438	121.20964226758962	110.36539864996105	96.97997417123425	117.80062704110664	98.88900451354857	94.35321234143085	83.2508218562645	89.0494074488654	80.91358006368507
S184_SHXA18	62.80852865590632	71.9320370672225	66.63758851455857	62.46211428403134	67.29089129421793	79.45975701637757	66.22117594991913	67.75903565467135	70.33996405996365	68.8838850812697	66.26788884633476	45.98115757416967	51.15786650285009	46.235413339822	0	51.43024469946982	53.2611247742602	70.16584334103793	83.24534497301089	78.14700177910059	89.40554940512936	95.15593586589706	75.19607215162594	95.2603139838516	109.13093104639478	114.76901575452814	105.7317530183315	91.74978902430462	112.21728020893521	95.0507030339791	90.35771688125268	79.8600941206864	81.40097121427594	72.1874426251119
S185_266	71.1305320249345	71.94212743719002	66.63951595962594	67.12395897634373	67.80032168137672	77.20214939738898	71.73334896519565	72.0690760066214	77.86760861152527	63.881678864198136	66.19510718869243	49.98443332901379	55.63185394635038	50.734327323402326	51.43024469946982	0	56.67466859891279	71.24353204882912	83.90557322411148	83.00465270816396	90.16484393754193	99.22636038173897	77.45972965369397	97.29098080133186	109.72930670818202	118.42877223397764	108.41856183374783	96.88346839118404	117.25463282955255	94.32781350959738	90.84774348078035	82.29085213817193	89.3821887779801	79.44729146180178
S186_SHXA14	73.56154970721688	79.32011186806794	69.8969084383909	67.88006440411	69.30444312581518	83.70259435079204	70.8795234281584	72.43731365955992	75.40264275798576	73.92204876487092	69.39877011805297	51.00700003104204	53.88038427592903	50.79625229510715	53.2611247742602	56.67466859891279	0	74.57428656255972	82.67004439637338	82.62022450542997	90.3821789003058	100.8139165151852	76.82402714760299	94.79661374339268	113.04340150228983	117.14395411066413	106.49294021187106	90.04314705467881	113.73617871827938	93.81524022584462	89.07570093399072	75.9323400891757	84.00857990123693	78.47578705597407
S145_nCOV001_C	53.78129496961904	46.071259510976	49.219158215161926	52.87291603745545	54.846698963965046	47.064716770529046	57.68126465252309	52.41533087284562	59.051721360011356	50.75039229275371	54.5218828370289	69.36721879638024	73.78075098628543	72.001451815329915	70.16584334103793	71.24353204882912	74.57428656255972	0	79.42752106755584	72.0814188858832	89.97044342163423	89.01903853899162	73.9946201956869	93.80041725834907	92.2962655863844	108.49792474698128	94.34493337464545	94.56352230262587	102.41554485429079	85.94427514682543	82.26817735799263	73.36320626459391	83.38750769103747	100.58780383066647
S147_nCoV001EUHM-Draw-1	79.42094365555519	77.88961268613946	72.88266919674008	71.6831367251374	66.58547987213356	87.89025176763502	67.07887118804607	75.90054281011624	78.24730296673754	72.91716816292877	72.84268643712676	88.73813543964503	90.74436064454565	85.29434163478774	83.24534497301089	83.90557322411148	82.67004439637338	79.42752106755584	0	81.6041162679843	71.82345653879487	95.12859679696696	66.33946169422478	65.77696633176919	100.28016561520543	112.39685273280924	94.86488573211197	72.79943432146166	112.41402545799409	85.4440730713689	75.8397339811434	63.90987386842885	88.5757790284047	85.36166492367079
S149_nCoV002EUHM-Draw-2	67.94713950040462	76.0399438555049	79.87171016086381	74.940865575821	72.2997524673891	77.12163128531967	73.52512915197876	78.3112888912323	86.57794292417671	77.8832090677134	71.09266421327686	80.40349557113035	78.13716525727412	85.69655328039902	78.14700177910059	83.00465270816396	82.62022450542997	72.0814188858832	81.6041162679843	0	67.12611093583779	61.59881085724049	60.73309236850881	81.66953014866601	81.86447027747997	84.88332893165203	80.86157099345256	77.12214306367913	79.3203171101249	66.81822402254944	67.00093015596765	68.76917182457989	67.60828393885194	82.5484636115816
S150_nCoV003EUHM-Draw-1	88.06284554741272	92.9861110387091	90.94570638348502	88.90373370555757	80.18232096809287	94.99330405217249	85.1451823064592	93.34366957881055	97.8270893145562	89.03969691934478	83.84227568283306	93.10069174650191	93.89197313239373	95.34809091076717	89.40554940512936	90.16484393754193	90.3821789003058	89.97044342163423	71.82345653879487	67.12611093583779	0	69.32243452362404	58.010344362534276	75.04891063083778	87.61548571152773	90.42788754088033	83.1895407423573	63.26555484422779	98.57115586415397	68.23922282596202	69.29637523982441	64.40750696616091	79.50239773610888	73.98385572656693
S151_nCoV004EUHM-Draw-1	86.85643928008525	93.54366425905515	98.0215463309753	96.12977770658786	86.85482638945494	89.52160488313746	93.36303255804866	98.93876093479093	103.7125131916062	96.06352144236845	88.42357495589626	96.22173526744186	96.35560852393512	103.11492187076925	95.15593586589706	99.22636038173897	100.8139165151852	89.01903853899162	95.12859679696696	61.59881085724049	69.32243452362404	0	69.68552728955328	90.07712770022137	73.10934529284803	67.86537307936125	69.87817293845954	80.29181674826533	72.35082233438139	60.178881443662696	68.36589541658353	76.32358445494292	76.39594026153233	89.5324961639825
S152_nCoV006EUHM-Draw-1	71.66259260464253	77.65200854727419	73.43845669026994	70.4954166624421	65.52703027221332	82.98994760189572	67.54074615318403	75.65709520116074	80.83371664799476	72.84934505263578	69.18538169522719	79.85985244616884	78.47600750705858	81.36774002186183	75.19607215162594	77.45972965369397	76.82402714760299	73.9946201956869	66.33946169422478	60.73309236850881	58.010344362534276	69.68552728955328	0	71.25714787873932	91.26233429575447	93.70864090513034	85.07508720671687	61.67260424751891	94.83592117498343	68.33443006988512	61.64406227531786	56.183959674840146	67.45995825378913	70.79112974240289
S153_nCoV007EUHM-Draw-1	89.21177608039609	91.77180425793262	90.3468828867668	83.85911280098729	81.24865954478297	102.73076123737935	76.6042627256523	90.50606925988586	93.69785759657302	90.83857783199183	87.79870405319278	102.64190274643717	96.20463604485502	101.3483791561885	95.2603139838516	97.29098080133186	94.79661374339268	93.80041725834907	65.77696633176919	81.66953014866601	75.04891063083778	90.07712770022137	71.25714787873932	0	102.18614342973044	106.16845926235803	88.37742235028863	68.30443059416945	105.95205998232842	85.70523138006011	73.78450605713775	69.50130443751719	84.44393438234529	85.04041089837138
S154_nCoV0010EUHM-Draw-1	96.78444233825532	99.6463779979715	101.96349994538585	105.84230623101789	88.68542307755318	85.44673238764712	100.96602502433315	102.93320923426982	107.89888419899684	100.88543120177813	94.77208646410318	108.06844236416354	113.29743328791835	114.21242321779438	109.13093104639478	109.72930670818202	113.04340150228983	92.2962655863844	100.28016561520543	81.86447027747997	87.61548571152773	73.10934529284803	91.26233429575447	102.18614342973044	0	91.69139490042069	68.43531876088544	98.86557293461455	83.93304122222433	77.62357457471747	88.5919389314081	91.53551854093926	101.63863303226483	116.28750478821024
S155_nCOV021EUHM	109.65103890720921	111.9662556582722	115.81964652737418	116.44326480791264	108.01236259224919	109.12974966354325	112.94119889887288	121.10325514402913	123.89433184504509	116.63987950954478	106.57131710839407	115.34857211810666	115.27758284852078	121.20964226758962	114.76901575452814	118.42877223397764	117.14395411066413	108.49792474698128	112.39685273280924	84.88332893165203	90.42788754088033	67.86537307936125	93.70864090513034	106.16845926235803	91.69139490042069	0	84.96655896678746	95.97003164510184	83.17578792278599	70.03340034492305	79.4980204238037	94.61450379964303	88.08681634916691	105.80873495595117
S156_nCOV024EUHM-Draw-1	95.38411925814064	99.69810573509697	101.14687375412784	102.1023092694892	86.9487158888619	91.8131543639307	97.6148578432676	101.83407312814775	107.48199571794095	102.04682640165933	94.98262604176124	106.05992992100637	108.38953042510664	110.36539864996105	105.7317530183315	108.41856183374783	106.49294021187106	94.34493337464545	94.86488573211197	80.86157099345256	83.1895407423573	69.87817293845954	85.07508720671687	88.37742235028863	68.43531876088544	84.96655896678746	0	86.43635906284659	67.27398392903686	73.33128615727419	79.93633686091543	83.31002779908141	90.93987165864245	107.72673270833612
S157_nCOV0029EUHM	91.35012219480176	97.70510478447622	90.45953139149387	86.5534221737434	80.83708128353095	102.78637674844379	79.45836563029339	92.7194926727111	94.51742838454699	95.59420269445967	89.7649289018876	97.73251871522095	94.47002152962258	96.97997417123425	91.74978902430462	96.88346839118404	90.04314705467881	94.56352230262587	72.79943432146166	77.12214306367913	63.26555484422779	80.29181674826533	61.67260424751891	68.30443059416945	98.86557293461455	95.97003164510184	86.43635906284659	0	95.56258029644415	70.85622952429691	61.53034997625939	58.28550996491302	73.32276789788347	72.19689676041244
S175_nCoV024EUHM-Draw-2	101.38958218363757	107.85320373240334	111.14623116967451	107.7740350668485	100.33270797336068	100.17149496141367	103.92133321014892	108.9539712472605	115.70089338988777	113.77660038693719	106.37080723875607	111.77974203829612	109.67812040709286	117.80062704110664	112.21728020893521	117.25463282955255	113.73617871827938	102.41554485429079	112.41402545799409	79.3203171101249	98.57115586415397	72.35082233438139	94.83592117498343	105.95205998232842	83.93304122222433	83.17578792278599	67.27398392903686	95.56258029644415	0	75.76744858258557	80.35696965506365	91.7319599196638	86.28495427101853	113.35376735366359
S176_nCoV025EUHM-Draw-1	90.33378627544927	92.79232733197799	89.6849613495395	92.30766654554546	80.91450545573755	87.75358622841512	88.4821011303211	96.02480781221628	99.34161459381168	90.67178167586866	84.25548755294727	94.20960397663319	95.38678602439265	98.88900451354857	95.0507030339791	94.32781350959738	93.81524022584462	85.94427514682543	85.4440730713689	66.81822402254944	68.23922282596202	60.178881443662696	68.33443006988512	85.70523138006011	77.62357457471747	70.03340034492305	73.33128615727419	70.85622952429691	75.76744858258557	0	40.59141523165739	64.40980456417309	74.47567505634429	88.9610895775005
S177_nCoV025EUHM-Draw-2	83.3568089271131	85.8078034701364	82.20581509329764	80.97021680207726	73.59309163039634	87.87399975286516	75.8983994600522	85.72779535677627	89.10931299710944	85.18864199160569	81.590626808179593	92.62663936387082	89.44867037178628	94.35321234143085	90.35771688125268	90.84774348078035	89.07570093399072	82.26817735799263	75.8397339811434	67.00093015596765	69.29637523982441	68.36589541658353	61.64406227531786	73.78450605713775	88.5919389314081	79.4980204238037	79.93633686091543	61.53034997625939	80.35696965506365	40.59141523165739	0	54.02632861068484	68.25331906899339	82.1929038271135
S178_nCoV028EUHM-Draw-1	76.1254616393842	75.95291584622505	69.94764153208712	68.16001783585627	61.86019847608335	81.24254374712825	63.395700870567396	71.86953030446358	73.17994850531873	75.4591840861048	72.7403533630376	84.33020421962223	81.61007749878745	83.2508218562645	79.8600941206864	82.29085213817193	75.9323400891757	73.36320626459391	63.90987386842885	68.76917182457989	64.40750696616091	76.32358445494292	56.183959674840146	69.50130443751719	91.53551854093926	94.61450379964303	83.31002779908141	58.28550996491302	91.7319599196638	64.40980456417309	54.02632861068484	0	70.2835666046926	78.37388443817727
S179_nCoV033EUHM-Draw-1	77.90719094639239	85.50425981218865	83.6036253289023	78.02357938664676	81.51592906675052	92.3685267267697	74.89180417424947	84.75126070617051	88.57290262055457	87.77312372464414	80.16980887316633	86.85571447769942	77.74605336042836	89.0494074488654	81.40097121427594	89.3821887779801	84.00857990123693	83.38750769103747	88.5757790284047	67.60828393885194	79.50239773610888	76.39594026153233	67.45995825378913	84.44393438234529	101.63863303226483	88.08681634916691	90.93987165864245	73.32276789788347	86.28495427101853	74.47567505634429	68.25331906899339	70.2835666046926	0	81.12192621706875
S180_nCoV034EUHM-Draw-1	91.34784061408168	100.56551995575923	96.76086874835309	87.9099405014932	89.78072880164349	111.11042348376127	86.2146296057766	97.65391533842399	98.96763024310731	98.21725221932817	93.37898407825452	79.90752799074588	78.25226294807882	80.91358006368507	72.1874426251119	79.44729146180178	78.47578705597407	100.58780383066647	85.36166492367079	82.5484636115816	73.98385572656693	89.5324961639825	70.79112974240289	85.04041089837138	116.28750478821024	105.80873495595117	107.72673270833612	72.19689676041244	113.35376735366359	88.9610895775005	82.1929038271135	78.37388443817727	81.12192621706875	0
