gene_id	limma_logFC	limma_AveExpr	limma_t	limma_pvalue	limma_padj	limma_B	ensembl_gene_id	limma_significant
ENSG00000253239	3.470342474883182	-0.3421700625413732	5.2069421807251866	8.490459475064751e-6	1.3012552021566629e-4	3.5793681202566106	ENSG00000253239	upregulated
ENSG00000259448	1.0231901896499807	0.41647378494766213	5.1926062867183465	8.501209434473187e-6	1.3013652836426915e-4	3.563871446331044	ENSG00000259448	upregulated
ENSG00000167553	1.0069994630737806	3.668398668225054	5.193624763150303	8.518591742899447e-6	1.3013652836426915e-4	3.24099645501755	ENSG00000167553	upregulated
ENSG00000090659	-1.4344193708611035	0.3887928719158647	-5.1869571095976195	8.649285454099958e-6	1.3164908478222802e-4	3.550904861669866	ENSG00000090659	downregulated
ENSG00000104341	1.1368151560129083	2.6332927465621507	5.1814165356662265	8.797006985795483e-6	1.336352383444544e-4	3.3545648723614487	ENSG00000104341	upregulated
ENSG00000226891	1.1622982358567202	0.39978727099353306	5.179957661317205	8.836318888219072e-6	1.3385649313358408e-4	3.5281049450658504	ENSG00000226891	upregulated
ENSG00000167106	-1.0107420192315146	7.170428324760812	-5.190739693136666	8.837462860657002e-6	1.3385649313358408e-4	2.950268788746021	ENSG00000167106	downregulated
ENSG00000211937	2.4997737618473326	4.202587115831633	5.198494576342839	8.877084297546397e-6	1.3412921528498155e-4	3.173624879699826	ENSG00000211937	upregulated
ENSG00000088826	1.7732131841768517	4.533504518024267	5.1970832997350485	8.915073460517902e-6	1.34265200537428e-4	3.097478320945794	ENSG00000088826	upregulated
ENSG00000156535	1.4632588148511831	1.3167505315575847	5.169975475698645	9.110035882130804e-6	1.3678282336093784e-4	3.4521350796478343	ENSG00000156535	upregulated
ENSG00000276903	1.4580810238088422	-0.6042993926384295	5.162933558569514	9.308186951701783e-6	1.3935326218233074e-4	3.489256934931422	ENSG00000276903	upregulated
ENSG00000205038	1.577854842867398	1.5740897926830328	5.1618157693703415	9.44017075160606e-6	1.405254718530666e-4	3.4002771218564094	ENSG00000205038	upregulated
ENSG00000142675	1.4150647759228336	1.6208443854137746	5.157090433272962	9.475855594597092e-6	1.4077636041398553e-4	3.3902819403959104	ENSG00000142675	upregulated
ENSG00000173208	-1.0285683654525783	3.9773190375856746	-5.160945628282821	9.504972514799772e-6	1.4107380258808084e-4	3.1025342375656866	ENSG00000173208	downregulated
ENSG00000236279	2.7127868830593735	-0.3785435513246049	5.156865614374574	9.739585937117845e-6	1.439261926447219e-4	3.4507261170405243	ENSG00000236279	upregulated
ENSG00000278828	1.9001717526187085	4.550124286388001	5.1650654786996615	9.821793948395382e-6	1.4480610659658972e-4	3.0042782559496732	ENSG00000278828	upregulated
ENSG00000163737	1.6514196377008572	5.599999757488358	5.156164225262719	1.0089793092343927e-5	1.4800216302674347e-4	2.856777074872795	ENSG00000163737	upregulated
ENSG00000147138	-1.0940958715953912	4.131757896280404	-5.143701451046987	1.0095827755144719e-5	1.4800216302674347e-4	3.02385577363009	ENSG00000147138	downregulated
ENSG00000115290	2.331123749474196	-0.7088367568603109	5.133215903886077	1.0297141188164533e-5	1.5052654083735334e-4	3.3937580253006177	ENSG00000115290	upregulated
ENSG00000239819	2.5341154609491476	1.414682803772232	5.1267609969164125	1.0830481513901491e-5	1.568447883105622e-4	3.294663641240894	ENSG00000239819	upregulated
ENSG00000134508	1.4450411166303567	0.35112577962468855	5.1071586768266215	1.103677774053096e-5	1.5953441076946428e-4	3.3205184800596275	ENSG00000134508	upregulated
ENSG00000183160	1.8620208645543443	0.9611625609341459	5.1055396975516585	1.1286686036848115e-5	1.6204119605384872e-4	3.27560805733356	ENSG00000183160	upregulated
ENSG00000211665	3.4718685300103997	1.0037660245095503	5.118878297909336	1.129378033102582e-5	1.6204119605384872e-4	3.2907395962569215	ENSG00000211665	upregulated
ENSG00000101003	1.5262854341880405	0.6581017868031682	5.097636059084099	1.1362276415440047e-5	1.6285385962463617e-4	3.2810236342170285	ENSG00000101003	upregulated
ENSG00000047597	2.675053493615591	1.9926309232825574	5.115523203304406	1.13716966596491e-5	1.6285385962463617e-4	3.2039288405855686	ENSG00000047597	upregulated
ENSG00000137571	1.446617998205265	-0.3742147021822197	5.095220813076853	1.1446339252078751e-5	1.6347396114156667e-4	3.298929488594389	ENSG00000137571	upregulated
ENSG00000124191	1.1334538463005255	2.0627158471485645	5.09341375372863	1.1509638078225434e-5	1.6407581488352618e-4	3.15917727297687	ENSG00000124191	upregulated
ENSG00000132967	1.4097877834415793	2.585210749507093	5.09425287497874	1.1706147667161842e-5	1.6581036558692254e-4	3.087908174481125	ENSG00000132967	upregulated
ENSG00000259719	1.9900648982785203	1.0607191583167845	5.094575500835329	1.1736021453605754e-5	1.6608183644655587e-4	3.2341007750065636	ENSG00000259719	upregulated
ENSG00000172889	1.8900286957375434	1.951552714497918	5.084996574595701	1.2184741109617401e-5	1.7056438141711724e-4	3.1266911833769644	ENSG00000172889	upregulated
ENSG00000211893	2.506060695573856	7.468913635971035	5.043484151499284	1.4182200283057972e-5	1.9227790768376675e-4	2.5026907185398812	ENSG00000211893	upregulated
