ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042773	ATP synthesis coupled electron transport	91	0.7967752411254844	2.1466100486640767	1e-10	7.49718309859155e-9	6.628613787991105e-9	2084	tags=65%, list=15%, signal=55%	891/983/7388/9377/11315/1337/4715/4728/1351/6622/29796/51142/4694/4713/4696/1329/4726/374291/27089/4710/1347/4706/1345/4709/4722/1327/1340/7386/4697/440567/4716/4700/1349/4712/29103/4695/6390/55967/1537/1350/4717/4704/4707/4702/7384/7381/10975/1716/4714/4708/4513/4729/4514/51103/4725/4724/9167/27069/790955
GO:0042775	mitochondrial ATP synthesis coupled electron transport	91	0.7967752411254844	2.1466100486640767	1e-10	7.49718309859155e-9	6.628613787991105e-9	2084	tags=65%, list=15%, signal=55%	891/983/7388/9377/11315/1337/4715/4728/1351/6622/29796/51142/4694/4713/4696/1329/4726/374291/27089/4710/1347/4706/1345/4709/4722/1327/1340/7386/4697/440567/4716/4700/1349/4712/29103/4695/6390/55967/1537/1350/4717/4704/4707/4702/7384/7381/10975/1716/4714/4708/4513/4729/4514/51103/4725/4724/9167/27069/790955
GO:0019730	antimicrobial humoral response	55	0.8463243902830289	2.140370762517547	1e-10	7.49718309859155e-9	6.628613787991105e-9	1061	tags=51%, list=8%, signal=47%	3500/3512/140823/8347/3502/8343/3494/8349/85236/3493/8970/2597/8339/5473/5196/5197/6283/28912/6280/3507/1991/2197/3151/3501/283/6374/3503/6037
GO:0006119	oxidative phosphorylation	132	0.771893451263695	2.137785572039686	1e-10	7.49718309859155e-9	6.628613787991105e-9	2414	tags=64%, list=17%, signal=54%	891/983/7388/30968/9377/11315/1337/4715/4728/1351/6622/29796/51142/4694/54539/4713/4696/1329/521/4726/374291/27089/4710/1347/522/4706/10476/513/6472/1345/4709/539/4722/1327/1340/7386/4697/9551/440567/514/4716/4700/1349/4712/29103/4695/6390/509/55967/1537/84300/1350/4717/4704/4707/4702/498/7384/7381/10975/1716/4714/4708/4513/9555/506/4729/4514/65990/51103/515/10632/4725/4724/9167/27069/790955/7415/387/4718/205/6391/126328/388753/400916
GO:0000070	mitotic sister chromatid segregation	172	0.7588519018749066	2.1311072323276505	1e-10	7.49718309859155e-9	6.628613787991105e-9	1005	tags=29%, list=7%, signal=27%	5347/11065/22974/9212/991/332/24137/699/81620/9700/4605/11130/113130/9787/64151/701/11004/3833/9319/23397/147841/3832/891/83540/9928/1063/55143/4751/7272/983/57082/146909/1062/10403/9493/10615/4085/26271/7283/26073/51529/10459/27243/5901/10051/10592/2491/25906/128866/56647
GO:0019646	aerobic electron transport chain	83	0.7910005925758876	2.110653535707351	1e-10	7.49718309859155e-9	6.628613787991105e-9	2084	tags=64%, list=15%, signal=55%	7388/9377/11315/1337/4715/4728/1351/6622/29796/4694/4713/4696/1329/4726/374291/27089/4710/1347/4706/1345/4709/4722/1327/1340/7386/4697/440567/4716/4700/1349/4712/29103/4695/6390/1537/1350/4717/4704/4707/4702/7384/7381/10975/4714/4708/4513/4729/4514/51103/4725/4724/9167/790955
GO:0016064	immunoglobulin mediated immune response	158	0.7490761936530099	2.100419799874896	1e-10	7.49718309859155e-9	6.628613787991105e-9	1529	tags=40%, list=11%, signal=36%	28467/28392/3500/28468/3514/28395/3539/28434/28444/28388/28442/9156/28445/3538/28450/714/3502/713/28400/1191/28391/28439/3494/28423/28412/3493/28452/28426/28457/28385/28448/28455/28424/4352/28394/28458/3542/28420/28408/708/28454/28473/28449/10459/3507/28414/712/28461/28464/28401/3501/3503/2209/28409/100423062/79915/102723168/28410/7468/710/10312/7292/715
GO:0022900	electron transport chain	149	0.7513418577801929	2.0987414068546877	1e-10	7.49718309859155e-9	6.628613787991105e-9	2411	tags=54%, list=17%, signal=45%	891/2731/983/7388/9377/11315/1337/4715/4728/1351/26227/6622/10954/29796/51142/4694/4713/4696/1329/2109/4726/374291/27089/4710/1347/4706/1345/4709/1535/2108/4722/1327/1340/7386/4697/84883/440567/4716/4700/1349/4712/29103/4695/6390/55967/1537/1350/4717/4704/444/4707/4702/7384/4835/7264/7381/10975/6834/1716/4714/4708/4513/4729/4514/2936/51103/4725/4724/3420/9167/27069/790955/8974/4718/6391/8659/388753/2629/6715/2110/29958
GO:0019724	B cell mediated immunity	161	0.7467552853848228	2.097366382003985	1e-10	7.49718309859155e-9	6.628613787991105e-9	1529	tags=40%, list=11%, signal=36%	28467/28392/3500/28468/3514/28395/3539/28434/28444/28388/28442/9156/28445/3538/28450/714/3502/713/28400/1191/28391/28439/3494/28423/28412/3493/28452/28426/28457/28385/28448/28455/28424/4352/28394/28458/3542/28420/28408/708/28454/28473/28449/10459/3507/28414/712/28461/28464/28401/3501/3503/2209/28409/100423062/79915/102723168/28410/7468/970/710/10312/7292/715
GO:0022904	respiratory electron transport chain	109	0.7692188405935205	2.096796856561708	1e-10	7.49718309859155e-9	6.628613787991105e-9	2084	tags=57%, list=15%, signal=49%	891/983/7388/9377/11315/1337/4715/4728/1351/6622/29796/51142/4694/4713/4696/1329/2109/4726/374291/27089/4710/1347/4706/1345/4709/2108/4722/1327/1340/7386/4697/84883/440567/4716/4700/1349/4712/29103/4695/6390/55967/1537/1350/4717/4704/4707/4702/7384/7381/10975/1716/4714/4708/4513/4729/4514/51103/4725/4724/9167/27069/790955
