ensembl_gene_id	gene_symbol	entrez_id	gene_name	gene_label
ENSG00000174348	PODN	127435	podocan	PODN
ENSG00000174353	ENSG00000174353	NA	NA	ENSG00000174353
ENSG00000174365	SNHG11	128439	small nucleolar RNA host gene 11	SNHG11
ENSG00000174370	KCNJ5-AS1	219833	KCNJ5 antisense RNA 1	KCNJ5-AS1
ENSG00000174371	EXO1	9156	exonuclease 1	EXO1
ENSG00000174373	RALGAPA1	253959	Ral GTPase activating protein catalytic subunit alpha 1	RALGAPA1
ENSG00000174405	LIG4	3981	DNA ligase 4	LIG4
ENSG00000174428	GTF2IRD2B	389524	GTF2I repeat domain containing 2B	GTF2IRD2B
ENSG00000174437	ATP2A2	488	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	ATP2A2
ENSG00000174442	ZWILCH	55055	zwilch kinetochore protein	ZWILCH
ENSG00000174444	RPL4	6124	ribosomal protein L4	RPL4
ENSG00000174446	SNAPC5	10302	small nuclear RNA activating complex polypeptide 5	SNAPC5
ENSG00000174456	C12orf76	400073	chromosome 12 open reading frame 76	C12orf76
ENSG00000174469	CNTNAP2	26047	contactin associated protein 2	CNTNAP2
ENSG00000174482	LINGO2	158038	leucine rich repeat and Ig domain containing 2	LINGO2
ENSG00000174485	DENND4A	10260	DENN domain containing 4A	DENND4A
ENSG00000174500	GCSAM	257144	germinal center associated signaling and motility	GCSAM
ENSG00000174501	ANKRD36C	400986	ankyrin repeat domain 36C	ANKRD36C
ENSG00000174514	MFSD4A	148808	major facilitator superfamily domain containing 4A	MFSD4A
ENSG00000174516	PELI3	246330	pellino E3 ubiquitin protein ligase family member 3	PELI3
ENSG00000174529	TMEM81	388730	transmembrane protein 81	TMEM81
ENSG00000174547	MRPL11	65003	mitochondrial ribosomal protein L11	MRPL11
ENSG00000174564	IL20RB	53833	interleukin 20 receptor subunit beta	IL20RB
ENSG00000174574	AKIRIN1	79647	akirin 1	AKIRIN1
ENSG00000174579	MSL2	55167	MSL complex subunit 2	MSL2
ENSG00000174586	ZNF497	162968	zinc finger protein 497	ZNF497
ENSG00000174600	CMKLR1	1240	chemerin chemokine-like receptor 1	CMKLR1
ENSG00000174606	ANGEL2	90806	angel homolog 2	ANGEL2
ENSG00000174607	UGT8	7368	UDP glycosyltransferase 8	UGT8
ENSG00000174628	IQCK	124152	IQ motif containing K	IQCK
ENSG00000174652	ZNF266	10781	zinc finger protein 266	ZNF266
ENSG00000174669	SLC29A2	3177	solute carrier family 29 member 2	SLC29A2
ENSG00000174684	B4GAT1	11041	beta-1,4-glucuronyltransferase 1	B4GAT1
ENSG00000174695	TMEM167A	153339	transmembrane protein 167A	TMEM167A
ENSG00000174705	SH3PXD2B	285590	SH3 and PX domains 2B	SH3PXD2B
ENSG00000174718	RESF1	55196	retroelement silencing factor 1	RESF1
ENSG00000174720	LARP7	51574	La ribonucleoprotein 7, transcriptional regulator	LARP7
ENSG00000174721	FGFBP3	143282	fibroblast growth factor binding protein 3	FGFBP3
ENSG00000174738	NR1D2	9975	nuclear receptor subfamily 1 group D member 2	NR1D2
ENSG00000174744	BRMS1	25855	BRMS1 transcriptional repressor and anoikis regulator	BRMS1
ENSG00000174748	RPL15	6138	ribosomal protein L15	RPL15
ENSG00000174749	FAM241A	132720	family with sequence similarity 241 member A	FAM241A
ENSG00000174775	HRAS	3265	HRas proto-oncogene, GTPase	HRAS
ENSG00000174776	WDR49	151790	WD repeat domain 49	WDR49
ENSG00000174780	SRP72	6731	signal recognition particle 72	SRP72
ENSG00000174788	PCP2	126006	Purkinje cell protein 2	PCP2
ENSG00000174791	RIN1	9610	Ras and Rab interactor 1	RIN1
ENSG00000174796	THAP6	152815	THAP domain containing 6	THAP6
ENSG00000174799	CEP135	9662	centrosomal protein 135	CEP135
ENSG00000174807	CD248	57124	CD248 molecule	CD248
ENSG00000174837	ADGRE1	2015	adhesion G protein-coupled receptor E1	ADGRE1
ENSG00000174839	DENND6A	201627	DENN domain containing 6A	DENND6A
ENSG00000174840	PDE12	201626	phosphodiesterase 12	PDE12
ENSG00000174842	GLMN	11146	glomulin, FKBP associated protein	GLMN
ENSG00000174851	YIF1A	10897	Yip1 interacting factor homolog A, membrane trafficking protein	YIF1A
ENSG00000174885	NLRP6	171389	NLR family pyrin domain containing 6	NLRP6
ENSG00000174886	NDUFA11	126328	NADH:ubiquinone oxidoreductase subunit A11	NDUFA11
ENSG00000174891	RSRC1	51319	arginine and serine rich coiled-coil 1	RSRC1
ENSG00000174903	RAB1B	81876	RAB1B, member RAS oncogene family	RAB1B
ENSG00000174912	ENSG00000174912	NA	NA	ENSG00000174912
ENSG00000174915	PTDSS2	81490	phosphatidylserine synthase 2	PTDSS2
ENSG00000174917	MICOS13	125988	mitochondrial contact site and cristae organizing system subunit 13	MICOS13
ENSG00000174928	C3orf33	285315	chromosome 3 open reading frame 33	C3orf33
ENSG00000174943	KCTD13	253980	potassium channel tetramerization domain containing 13	KCTD13
ENSG00000174944	P2RY14	9934	purinergic receptor P2Y14	P2RY14
ENSG00000174945	AMZ1	155185	archaelysin family metallopeptidase 1	AMZ1
ENSG00000174946	GPR171	29909	G protein-coupled receptor 171	GPR171
ENSG00000174953	DHX36	170506	DEAH-box helicase 36	DHX36
ENSG00000174977	ENSG00000174977	NA	NA	ENSG00000174977
ENSG00000174989	FBXW8	26259	F-box and WD repeat domain containing 8	FBXW8
ENSG00000174996	KLC2	64837	kinesin light chain 2	KLC2
ENSG00000175029	CTBP2	1488	C-terminal binding protein 2	CTBP2
