gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement
ENSG00000287426	ENSG00000287426	ENSG00000287426	NA	NA	-0.3524763077989857	0.15623215950933234	not_significant	-0.7417021024541466	0.37012207484444487	0.03584152460971448	0.08425311407951978	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000174173	ENSG00000174173	TRMT10C	54931	tRNA methyltransferase 10C, mitochondrial RNase P subunit	-0.1668385455219809	0.15636030350831395	not_significant	-0.18458598932704984	4.248781567178301	0.07289187547957045	0.14642572059165102	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000067167	ENSG00000067167	TRAM1	23471	translocation associated membrane protein 1	0.12324481242012116	0.1566439838895626	not_significant	0.1172274406772793	7.976796407170008	0.10890190450096092	0.19965349158509502	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000147813	ENSG00000147813	NAPRT	93100	nicotinate phosphoribosyltransferase	0.3154578489789807	0.15678527159792022	not_significant	0.3060512810174636	6.386960411468545	0.23007713349611886	0.3540174940996829	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000066044	ENSG00000066044	ELAVL1	1994	ELAV like RNA binding protein 1	0.09782689375674064	0.15697859642894263	not_significant	0.08899008028808453	6.170598106538785	0.13165478719896198	0.23107001804412136	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000145649	ENSG00000145649	GZMA	3001	granzyme A	0.2954890701366404	0.15712323537388967	not_significant	0.21532661873823766	7.15882665417838	0.37086901932301297	0.5030766564369364	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000066923	ENSG00000066923	STAG3	10734	STAG3 cohesin complex component	0.2551210241568075	0.15715244583224133	not_significant	0.3160049943707255	1.6850088657068254	0.0756893231795307	0.15062117045349258	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000185236	ENSG00000185236	RAB11B	9230	RAB11B, member RAS oncogene family	0.12685533081561523	0.1573393169059559	not_significant	0.11457866876870337	6.454426691430614	0.12841399113334126	0.2267677334029515	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000228329	ENSG00000228329	LINC01890	105374791	long intergenic non-protein coding RNA 1890	-0.2953512607692214	0.15737323521331517	not_significant	-0.40695144402878025	-0.5017135828382354	0.0596396732048238	0.12511988792192846	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000110107	ENSG00000110107	PRPF19	27339	pre-mRNA processing factor 19	-0.14522523489709988	0.15743201630593143	not_significant	-0.16145832557225015	3.961403488472618	0.07490660458913061	0.14945365778909667	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000143851	ENSG00000143851	PTPN7	5778	protein tyrosine phosphatase non-receptor type 7	0.18461237293237773	0.1576436861444955	not_significant	0.18095784819865468	7.0396727747529075	0.12962137740943983	0.2284057672824826	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000215126	ENSG00000215126	ZNG1F	644019	Zn regulated GTPase metalloprotein activator 1F	0.23762328799805665	0.1576436861444955	not_significant	0.3030503779144593	1.317461899106619	0.07025012918897026	0.14220562564877692	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000100207	ENSG00000100207	TCF20	6942	transcription factor 20	-0.17389127550860692	0.1576436861444955	not_significant	-0.19859606281149667	4.966643719642631	0.06816516123706248	0.13904432283572218	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000101745	ENSG00000101745	ANKRD12	23253	ankyrin repeat domain 12	-0.16889608338603182	0.15773594782406122	not_significant	-0.2097363744377736	6.794134775771575	0.05184941806957243	0.11208145982704786	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000198901	ENSG00000198901	PRC1	9055	protein regulator of cytokinesis 1	0.3245551362830093	0.15783611772512882	not_significant	0.5195992093820827	-0.4403879967658406	0.056417099410496656	0.11993273188826797	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000134594	ENSG00000134594	RAB33A	9363	RAB33A, member RAS oncogene family	0.24186953560844052	0.15789711832786868	not_significant	0.3170774903497964	1.8236487479580519	0.06830662214037718	0.13927115937915738	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000149084	ENSG00000149084	HSD17B12	51144	hydroxysteroid 17-beta dehydrogenase 12	0.19927937518235683	0.1580003296919349	not_significant	0.18708301097015845	3.8668182687699773	0.1404942720226637	0.2430637098797004	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000135437	ENSG00000135437	RDH5	5959	retinol dehydrogenase 5	-0.27194204470925604	0.15806585397816977	not_significant	-0.29442735557917166	1.0326151704887283	0.147602581618283	0.25243312833824777	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000119912	ENSG00000119912	IDE	3416	insulin degrading enzyme	0.14955127239662083	0.1583322228320163	not_significant	0.1370369594195564	5.693589476581978	0.13612211140402772	0.23740626873681211	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
