ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007052	mitotic spindle organization	22/635	120/11812	3.5597812760088837e-7	1.6764475821015954e-5	1.53985337425375e-5	PLK1/TPX2/AURKB/CDC20/BIRC5/KIF4A/MYBL2/DLGAP5/KIFC1/KIF11/CCNB1/NUF2/CDCA8/NEK2/TTK/CENPE/NDC80/STIL/KIF23/WDR62/AURKA/STMN1	22
GO:0061982	meiosis I cell cycle process	18/635	86/11812	5.42898207467125e-7	2.5270017726638385e-5	2.321105800101184e-5	PLK1/CDC20/PKMYT1/CCNB2/ESPL1/TOP2A/RAD54L/TRIP13/CDC25A/RAD51/NDC80/PTTG1/AURKA/RAD51AP1/FBXO5/EME1/CCNE2/CCNE1	18
GO:0044839	cell cycle G2/M phase transition	23/635	136/11812	8.637526306140795e-7	3.974254919940414e-5	3.650439127326049e-5	PLK1/CCNA2/FOXM1/AURKB/PKMYT1/DTL/CCNB2/CLSPN/CDC6/CDC25A/MELK/CCNB1/KIF14/CENPF/TICRR/CDK1/ORC1/NDC80/CHEK1/AURKA/FBXO5/BRCA1/PBX1	23
GO:0033044	regulation of chromosome organization	32/635	233/11812	9.112735869538799e-7	4.145259282473161e-5	3.807510334007061e-5	PLK1/UBE2C/AURKB/CDC20/BIRC5/BUB1/ESPL1/TOP2A/ZWINT/DLGAP5/NCAPG/BUB1B/CDC6/TRIP13/NCAPH/SPC24/CCNB1/NUF2/CENPF/CDCA8/NEK2/TTK/CDK1/KNL1/PIF1/CENPE/NDC80/FEN1/MAD2L1/FBXO5/RMI2/TAL1	32
GO:0051310	metaphase chromosome alignment	18/635	89/11812	9.270777829515985e-7	4.169766702421628e-5	3.830020929449951e-5	AURKB/BIRC5/CDT1/CDCA5/KIF2C/KIFC1/SPC24/CCNB1/NUF2/KIF14/CENPF/CDCA8/NEK2/KNL1/CENPE/NDC80/SPAG5/SGO1	18
GO:0000226	microtubule cytoskeleton organization	53/635	497/11812	1.231754347049644e-6	5.478569612488583e-5	5.032184718414512e-5	PLK1/TPX2/AURKB/CDC20/BIRC5/KIF4A/ASPM/CCNB2/KIF20A/ESPL1/MYBL2/CENPA/DLGAP5/KIF2C/KIFC1/SKA1/SKA3/KIF11/CCNB1/NUF2/PCLAF/CDCA8/NEK2/TTK/CDK1/KIF18B/CENPE/NDC80/PLK4/STIL/CHEK1/KIF23/DNAH8/WDR62/SPAG5/SGO1/MAD2L1/AURKA/TTLL7/STMN1/FBXO5/SNCA/AUNIP/BRCA1/MAP1B/SAPCD2/TUBA1C/PARD3/TUBB1/GAS2L1/XRCC2/MAP1A/SPRY2	53
GO:0050000	chromosome localization	19/635	103/11812	2.022320297505867e-6	8.895986979028556e-5	8.171156505711964e-5	AURKB/BIRC5/CDT1/CDCA5/DLGAP5/KIF2C/KIFC1/SPC24/CCNB1/NUF2/KIF14/CENPF/CDCA8/NEK2/KNL1/CENPE/NDC80/SPAG5/SGO1	19
GO:0071459	protein localization to chromosome, centromeric region	10/635	30/11812	2.118124836472556e-6	9.21614534826048e-5	8.46522889450645e-5	AURKB/CENPA/BUB1B/TTK/CDK1/KNL1/H2BC11/H4C8/H2AC8/H4C9	10
GO:0000086	G2/M transition of mitotic cell cycle	21/635	123/11812	2.198260046819596e-6	9.46197308324607e-5	8.691026987595755e-5	PLK1/CCNA2/FOXM1/AURKB/PKMYT1/DTL/CLSPN/CDC6/CDC25A/MELK/CCNB1/KIF14/CENPF/TICRR/CDK1/ORC1/CHEK1/AURKA/FBXO5/BRCA1/PBX1	21
GO:0065004	protein-DNA complex assembly	26/635	177/11812	2.7294312484773678e-06	1.1623312008143513e-4	1.067626355087508e-4	HJURP/H1-5/CDT1/H1-2/CENPA/DLGAP5/CDC45/RAD51/CENPF/MCM2/H1-3/H2BC4/H1-4/CENPE/H2BC7/CENPW/H2BC21/ASF1B/H2BC11/H2BC8/H4C8/H3C10/H4C9/H2BC9/GMNN/CENPI	26
GO:0051303	establishment of chromosome localization	18/635	96/11812	2.9379441695031764e-6	1.2379568958443383e-4	1.1370901921412295e-4	AURKB/BIRC5/CDT1/CDCA5/KIF2C/KIFC1/SPC24/CCNB1/NUF2/KIF14/CENPF/CDCA8/NEK2/KNL1/CENPE/NDC80/SPAG5/SGO1	18
GO:0042744	hydrogen peroxide catabolic process	8/635	19/11812	2.9745912381549203e-6	1.2403425756598067e-4	1.1392814906661335e-4	PRDX4/HBD/SNCA/HBA2/HBQ1/HBB/HBA1/MPO	8
GO:0001936	regulation of endothelial cell proliferation	17/635	89/11812	4.241413883732525e-6	1.7503484305753916e-4	1.6077329024284006e-4	CAV1/MYDGF/EGF/EGFL7/SPARC/PPARG/MDK/CAV2/BMP6/ITGB3/ECM1/PLXNB3/ANG/GATA2/CCR3/F3/ACVRL1	17
GO:0001938	positive regulation of endothelial cell proliferation	14/635	63/11812	4.702410307569217e-6	1.920790659306079e-4	1.7642877770504054e-4	MYDGF/EGF/EGFL7/MDK/CAV2/BMP6/ITGB3/ECM1/PLXNB3/ANG/GATA2/CCR3/F3/ACVRL1	14
GO:1903034	regulation of response to wounding	19/635	110/11812	5.582623782277622e-6	2.2409941887737125e-4	2.0584016464984359e-4	CAV1/MDK/TFPI/MMRN1/MYLK/TNFRSF12A/GP1BA/PROS1/ALOX12/CD109/PTPRF/KREMEN1/ADRA2A/EPHB2/VIL1/PDGFA/F3/RGMA/SERPING1	19
GO:0051225	spindle assembly	20/635	120/11812	5.598286756866631e-6	2.2409941887737125e-4	2.0584016464984359e-4	PLK1/TPX2/AURKB/CDC20/BIRC5/KIF4A/ASPM/CCNB2/MYBL2/KIFC1/KIF11/CDCA8/NEK2/NDC80/STIL/KIF23/SPAG5/AURKA/FBXO5/TUBB1	20
GO:0071312	cellular response to alkaloid	9/635	27/11812	6.929132362146054e-6	2.71934478879124e-4	2.497777021772566e-4	CCNA2/RAD51/CHEK1/SLC1A3/BCL2L1/RYR2/TGM2/SLC1A2/CRHBP	9
GO:1905820	positive regulation of chromosome separation	9/635	27/11812	6.929132362146054e-6	2.71934478879124e-4	2.497777021772566e-4	UBE2C/AURKB/CDC20/BIRC5/ESPL1/DLGAP5/NCAPG/NCAPH/CDCA8	9
GO:0006334	nucleosome assembly	15/635	74/11812	7.250065119371224e-6	2.77344944641706e-4	2.5474733203609897e-4	H1-5/H1-2/MCM2/H1-3/H2BC4/H1-4/H2BC7/H2BC21/ASF1B/H2BC11/H2BC8/H4C8/H3C10/H4C9/H2BC9	15
GO:0006268	DNA unwinding involved in DNA replication	8/635	21/11812	7.27484866034952e-6	2.77344944641706e-4	2.5474733203609897e-4	GINS2/CDC45/RAD51/MCM2/RECQL4/MCM4/MCM6/GINS1	8
GO:0051315	attachment of mitotic spindle microtubules to kinetochore	8/635	21/11812	7.27484866034952e-6	2.77344944641706e-4	2.5474733203609897e-4	AURKB/BIRC5/CDT1/KIF2C/NUF2/CDCA8/CENPE/NDC80	8
GO:0070527	platelet aggregation	13/635	57/11812	7.572992910649092e-6	2.8598764737102183e-4	2.6268584147862243e-4	MYL9/MFSD2B/GATA1/MMRN1/PEAR1/GP6/ITGB3/ALOX12/TUBB1/F2RL3/HBB/SLC6A4/SLC7A11	13
GO:0010389	regulation of G2/M transition of mitotic cell cycle	17/635	94/11812	9.16340572170819e-6	3.4281414115885873e-4	3.148822054690281e-4	PLK1/AURKB/DTL/CLSPN/CDC6/CDC25A/CCNB1/KIF14/CENPF/TICRR/CDK1/ORC1/CHEK1/AURKA/FBXO5/BRCA1/PBX1	17
GO:1902969	mitotic DNA replication	7/635	16/11812	9.379383079415279e-6	3.4677033873827304e-4	3.185160585384087e-4	TK1/CDC45/RAD51/MCM2/MCM4/MCM6/GINS1	7
GO:0001935	endothelial cell proliferation	18/635	104/11812	9.529037537149646e-6	3.4677033873827304e-4	3.185160585384087e-4	CAV1/MYDGF/EGF/EGFL7/SPARC/PPARG/MDK/CAV2/BMP6/ITGB3/ECM1/PLXNB3/ANG/GATA2/CCR3/F3/CD34/ACVRL1	18
GO:1902749	regulation of cell cycle G2/M phase transition	18/635	104/11812	9.529037537149646e-6	3.4677033873827304e-4	3.185160585384087e-4	PLK1/AURKB/PKMYT1/DTL/CLSPN/CDC6/CDC25A/CCNB1/KIF14/CENPF/TICRR/CDK1/ORC1/CHEK1/AURKA/FBXO5/BRCA1/PBX1	18
GO:1901970	positive regulation of mitotic sister chromatid separation	7/635	17/11812	1.520760529085476e-5	5.484328286422666e-4	5.037474185012392e-4	UBE2C/AURKB/CDC20/BIRC5/ESPL1/DLGAP5/CDCA8	7
GO:0051231	spindle elongation	6/635	12/11812	1.648649413189353e-5	5.892449643747303e-4	5.412342481457152e-4	AURKB/BIRC5/KIF4A/KIF11/CDCA8/KIF23	6
GO:0030261	chromosome condensation	10/635	37/11812	1.7438907743744448e-5	6.17769448656717e-4	5.674346040884895e-4	PLK1/H1-5/H1-2/TOP2A/CDCA5/NCAPG/NCAPH/CDK1/H1-3/H1-4	10
GO:0007143	female meiotic nuclear division	9/635	30/11812	1.8289764832525242e-5	6.386634348056393e-4	5.866261824095344e-4	PLK1/CCNB2/TOP2A/TRIP13/NCAPH/TTK/NDC80/AURKA/FBXO5	9
GO:0030219	megakaryocyte differentiation	12/635	53/11812	1.8347812890993886e-5	6.386634348056393e-4	5.866261824095344e-4	MPIG6B/H4C8/GATA1/PF4/GP9/H4C9/FAXDC2/GP1BA/MEIS1/MTURN/GATA2/TAL1	12
GO:0061041	regulation of wound healing	15/635	80/11812	1.9539914975946673e-5	6.742955142130564e-4	6.19355018248473e-4	CAV1/TFPI/MMRN1/MYLK/TNFRSF12A/GP1BA/PROS1/ALOX12/CD109/ADRA2A/EPHB2/VIL1/PDGFA/F3/SERPING1	15
GO:0010639	negative regulation of organelle organization	34/635	295/11812	2.129230647253065e-5	7.284880582011983e-4	6.691320423621193e-4	PLK1/TPX2/AURKB/CDC20/BIRC5/BUB1/ESPL1/TOP2A/ZWINT/BUB1B/TRIP13/SPC24/CCNB1/NUF2/CENPF/CDCA8/TTK/KNL1/PIF1/NDC80/CLU/CHEK1/MAD2L1/PPARG/STMN1/FBXO5/SNCA/SPTB/BRCA1/MAP1B/ARHGAP6/TMOD1/BCL2L1/VIL1	34
GO:0007080	mitotic metaphase chromosome alignment	12/635	54/11812	2.2453185617175205e-5	7.616957798775622e-4	6.996340531738893e-4	AURKB/BIRC5/CDT1/CDCA5/KIF2C/KIFC1/CCNB1/NUF2/KIF14/CDCA8/CENPE/NDC80	12
GO:0045931	positive regulation of mitotic cell cycle	17/635	101/11812	2.447902725112667e-5	8.234415637500844e-4	7.563488915363596e-4	RRM2/UBE2C/CDC20/DTL/ESPL1/CDCA5/DLGAP5/CDC6/CDC25A/CCNB1/CDK1/STIL/AURKA/FBXO5/SPHK1/TAL1/PBX1	17
GO:0007127	meiosis I	15/635	82/11812	2.6559007646346187e-5	8.859642300693649e-4	8.137773132340985e-4	PLK1/CCNB2/ESPL1/TOP2A/RAD54L/TRIP13/RAD51/NDC80/PTTG1/AURKA/RAD51AP1/FBXO5/EME1/CCNE2/CCNE1	15
GO:0033260	nuclear DNA replication	10/635	39/11812	2.886850799329511e-5	9.550465908856225e-4	8.772309562468884e-4	TK1/CDT1/CDC45/RAD51/MCM2/MCM4/FEN1/MCM6/GINS1/GMNN	10
GO:0007229	integrin-mediated signaling pathway	15/635	85/11812	4.1255644826382886e-5	0.0013536585757377925	0.0012433646883395638	ITGA2B/MPIG6B/CD63/LIMS1/ITGA1/ITGB5/ITGB3/LAMC1/ITGA7/FN1/DOCK1/ITGA9/ITGA2/ITGB8/ISG15	15
GO:0001525	angiogenesis	38/635	357/11812	4.2594968445944355e-5	0.0013862411275537827	0.0012732924671089742	E2F2/CAV1/E2F7/MYDGF/EGF/E2F8/EGFL7/SPARC/ITGA2B/PPARG/MDK/BRCA1/PF4/ITGB3/CALD1/TNFRSF12A/ECM1/ADM/MEIS1/FN1/SPHK1/ANG/CLDN5/GATA2/TAL1/EPHB2/JAM3/SPRY2/FZD5/CAMP/PDGFA/CCR3/F3/CD34/ID1/ACVRL1/ITGB8/NOTCH3	38
GO:0051984	positive regulation of chromosome segregation	8/635	26/11812	4.394903607288775e-5	0.0014187741241916908	0.001303174728375186	AURKB/BIRC5/NCAPG/CDC6/NCAPH/CCNB1/CDCA8/CDK1	8
