gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement
ENSG00000136231	ENSG00000136231	IGF2BP3	10643	insulin like growth factor 2 mRNA binding protein 3	1.6612756467366274	1.0373845134931036e-8	upregulated	1.3731051949162965	1.1908714699433545	2.1490018387819654e-5	2.595873716472608e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000221955	ENSG00000221955	SLC12A8	84561	solute carrier family 12 member 8	1.8413669991499395	1.0896132221506166e-8	upregulated	1.6767202089257678	-0.5368504460335235	1.0979083245104613e-6	2.7869980545265555e-5	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000082781	ENSG00000082781	ITGB5	3693	integrin subunit beta 5	1.9882768253310752	1.1353165826281344e-8	upregulated	1.5047291320474296	4.569620961631994	3.440972224058637e-4	0.002233032602307509	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000005249	ENSG00000005249	PRKAR2B	5577	protein kinase cAMP-dependent type II regulatory subunit beta	1.823240189214099	1.1652317735149809e-8	upregulated	1.4425796678834546	5.7660490373302515	7.661322689538884e-5	6.998063304755482e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000088053	ENSG00000088053	GP6	51206	glycoprotein VI platelet	1.998742064968505	1.2352994970511021e-8	upregulated	1.541779314819438	3.112753929675894	5.562168836336497e-4	0.0032640650265448002	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000259207	ENSG00000259207	ITGB3	3690	integrin subunit beta 3	2.3554980388859743	1.3055099402349026e-8	upregulated	1.8387086145197777	5.711689997490929	1.2780055722316473e-4	0.0010416114779460246	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000204323	ENSG00000204323	SMIM5	643008	small integral membrane protein 5	2.063038158758756	1.5588752504190653e-8	upregulated	1.4925247680955176	2.3092614679997685	7.787303390539337e-4	0.004211334574172424	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000142583	ENSG00000142583	SLC2A5	6518	solute carrier family 2 member 5	1.66947921088574	1.5892225033947224e-8	upregulated	1.5679000660857723	2.2853746185494677	4.698791862876501e-5	4.785178056021965e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000135862	ENSG00000135862	LAMC1	3915	laminin subunit gamma 1	1.5423115362517987	1.6342033659280298e-8	upregulated	1.4855937806763255	3.4985542855684146	4.436238626888343e-5	4.5779149103817825e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000149564	ENSG00000149564	ESAM	90952	endothelial cell adhesion molecule	1.9009922729530015	1.6505783920128062e-8	upregulated	1.4423800360814547	4.5830808935614344	3.264787460070447e-4	0.00214744925808705	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
