ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-69620	Cell Cycle Checkpoints	56/409	265/7708	6.731193347308672e-20	5.876331792200471e-17	4.591382409532653e-17	PLK1/UBE2C/CCNA2/AURKB/CDC20/PKMYT1/BIRC5/BUB1/CCNB2/MCM10/ZWINT/GTSE1/CENPA/CLSPN/BUB1B/KIF2C/CDC45/CDC6/CDC25A/SPC24/SKA1/CCNB1/NUF2/CENPF/EXO1/CDCA8/MCM2/CDK1/ORC1/H2BC4/KNL1/CENPE/H2BC7/MCM4/NDC80/CENPU/CHEK1/H2BC21/H2BC12/H2BC11/SGO1/MCM6/MAD2L1/H2BC8/H4C8/BRCA1/H4C9/ORC6/CENPM/H2BC9/H2BC5/RMI2/CCNE2/CDKN2A/CCNE1/CENPI	56
R-HSA-109582	Hemostasis	70/409	452/7708	7.60235604989273e-17	3.318428415778176e-14	2.592803537016047e-14	KIF4A/KIF20A/KIF2C/KIFC1/JCHAIN/KIF11/KIF15/SDC1/KIF18B/CAV1/CENPE/CLU/GAS6/KIF23/HBD/EGF/SPARC/ITGA2B/MANF/SELP/MPIG6B/GATA1/H3C10/PPBP/CD63/PF4/TFPI/GP9/MPL/PDE2A/GRB14/ITGA1/PF4V1/MMRN1/PRKAR2B/GP6/ITGB3/ESAM/GNG11/TUBA1C/GP1BA/CABLES1/ECM1/PROS1/CLEC1B/FN1/SLC8A3/CD109/LY6G6F/EHD3/TUBB1/F2RL3/F13A1/HBB/SYTL4/GATA2/DOCK1/VWF/MGLL/ADRA2A/PDE5A/GPC1/GUCY1B1/JAM3/ITGA2/PDGFA/SDC2/F3/SERPING1/SLC7A11	70
R-HSA-195258	RHO GTPase Effectors	48/409	262/7708	1.422464163579318e-14	4.139370716015815e-12	3.234234308769818e-12	PLK1/AURKB/CDC20/BIRC5/BUB1/ZWINT/CENPA/BUB1B/KIF2C/SPC24/SKA1/NUF2/KIF14/CENPF/DIAPH3/CDCA8/H2BC4/KNL1/CENPE/H2BC7/NDC80/MYL9/CENPU/H2BC21/H2BC12/H2BC11/SGO1/H2AJ/MAD2L1/CIT/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/S100A8/MYLK/CTTN/TUBA1C/S100A9/WASF1/TUBB1/CENPI/PPP1R14A	48
R-HSA-606279	Deposition of new CENPA-containing nucleosomes at the centromere	20/409	48/7708	8.401226947586541e-14	1.46685422504861e-11	1.146104223586543e-11	HJURP/CENPA/H2BC4/KNL1/H2BC7/CENPW/CENPU/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/CENPI	20
R-HSA-774815	Nucleosome assembly	20/409	48/7708	8.401226947586541e-14	1.46685422504861e-11	1.146104223586543e-11	HJURP/CENPA/H2BC4/KNL1/H2BC7/CENPW/CENPU/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/CENPI	20
R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	20/409	53/7708	7.935336935413004e-13	1.1545915241025921e-10	9.021225147627416e-11	CCNA2/H1-5/H1-2/H1-3/H2BC4/H1-4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CCNE2/CCNE1	20
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	28/409	112/7708	2.513615099860458e-12	3.1348371173974e-10	2.4493572702399657e-10	PLK1/AURKB/CDC20/BIRC5/BUB1/CCNB2/ZWINT/CENPA/CDCA5/BUB1B/KIF2C/SPC24/SKA1/CCNB1/NUF2/CENPF/CDCA8/CDK1/KNL1/CENPE/NDC80/CENPU/SGO1/MAD2L1/CENPM/TUBA1C/TUBB1/CENPI	28
R-HSA-2299718	Condensation of Prophase Chromosomes	17/409	40/7708	4.345871040010863e-12	4.742431772411854e-10	3.705426886746104e-10	PLK1/CCNB1/CDK1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	17
R-HSA-5334118	DNA methylation	15/409	31/7708	7.961791852918332e-12	6.58469990621662e-10	5.144855054233279e-10	UHRF1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	15
R-HSA-68616	Assembly of the ORC complex at the origin of replication	16/409	36/7708	8.131946340322073e-12	6.58469990621662e-10	5.144855054233279e-10	ORC1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/ORC6/H2BC9/H2BC5	16
R-HSA-68886	M Phase	53/409	364/7708	8.29687273406447e-12	6.58469990621662e-10	5.144855054233279e-10	PLK1/UBE2C/AURKB/CDC20/BIRC5/BUB1/CCNB2/KIF20A/ESPL1/ZWINT/CENPA/CDCA5/NCAPG/BUB1B/KIF2C/NCAPH/SPC24/SKA1/CCNB1/NUF2/CENPF/CDCA8/NEK2/CDK1/H2BC4/KNL1/CENPE/H2BC7/NDC80/PLK4/CENPU/H2BC21/KIF23/H2BC12/H2BC11/SGO1/H2AJ/PTTG1/MAD2L1/H2BC8/FBXO5/H4C8/H3C10/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/PRKAR2B/TUBA1C/TUBB1/CENPI	53
R-HSA-69306	DNA Replication	32/409	152/7708	9.949434429763954e-12	7.238213547653276e-10	5.655467991655301e-10	UBE2C/CCNA2/CDT1/MCM10/GINS2/CDC45/CDC6/MCM2/ORC1/H2BC4/H2BC7/MCM4/FEN1/POLE2/H2BC21/H2BC12/H2BC11/MCM6/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/ORC6/H2BC9/H2BC5/GINS1/CCNE2/GMNN/CCNE1	32
R-HSA-9821002	Chromatin modifications during the maternal to zygotic transition (MZT)	15/409	35/7708	7.069187712096398e-11	4.687846132464999e-9	3.6627772277534456e-9	UHRF1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	15
R-HSA-73728	RNA Polymerase I Promoter Opening	14/409	30/7708	7.517737211284076e-11	4.687846132464999e-9	3.6627772277534456e-9	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-110330	Recognition and association of DNA glycosylase with site containing an affected purine	14/409	31/7708	1.3053137938571808e-10	6.330771900207327e-9	4.946452271458791e-9	H2BC4/H2BC7/NEIL3/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-110331	Cleavage of the damaged purine	14/409	31/7708	1.3053137938571808e-10	6.330771900207327e-9	4.946452271458791e-9	H2BC4/H2BC7/NEIL3/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	14/409	31/7708	1.3053137938571808e-10	6.330771900207327e-9	4.946452271458791e-9	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-73927	Depurination	14/409	31/7708	1.3053137938571808e-10	6.330771900207327e-9	4.946452271458791e-9	H2BC4/H2BC7/NEIL3/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	19/409	61/7708	1.473226919635194e-10	6.769090004429075e-9	5.288925451100309e-9	H2BC4/H2BC7/MYL9/H2BC21/H2BC12/H2BC11/ITGA2B/H2AJ/H2BC8/H4C8/GATA1/H3C10/H2AC6/PF4/H2AC8/H4C9/H2BC9/H2BC5/GP1BA	19
R-HSA-171306	Packaging Of Telomere Ends	13/409	27/7708	2.227093153433002e-10	9.721261614735053e-9	7.595559807497817e-9	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	13
R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	24/409	103/7708	4.669442913903418e-10	1.9411541256369925e-8	1.5166912321851706e-8	PLK1/AURKB/CDC20/BIRC5/BUB1/ZWINT/CENPA/BUB1B/KIF2C/SPC24/SKA1/NUF2/CENPF/CDCA8/KNL1/CENPE/NDC80/CENPU/SGO1/MAD2L1/CENPM/TUBA1C/TUBB1/CENPI	24
R-HSA-69481	G2/M Checkpoints	29/409	147/7708	4.999393411685601e-10	1.983850203818877e-8	1.550051163048933e-8	PKMYT1/CCNB2/MCM10/GTSE1/CLSPN/CDC45/CDC6/CDC25A/CCNB1/EXO1/MCM2/CDK1/ORC1/H2BC4/H2BC7/MCM4/CHEK1/H2BC21/H2BC12/H2BC11/MCM6/H2BC8/H4C8/BRCA1/H4C9/ORC6/H2BC9/H2BC5/RMI2	29
R-HSA-453279	Mitotic G1 phase and G1/S transition	29/409	148/7708	5.918308782826099e-10	2.2463841597422543e-8	1.7551780738083808e-8	TK1/RRM2/CCNA2/CDT1/TOP2A/MCM10/MYBL2/CDC45/CDC6/TYMS/E2F2/CDC25A/CCNB1/MCM2/CDK1/ORC1/E2F1/CDKN2C/DHFR/MCM4/POLE2/MCM6/FBXO5/ORC6/CABLES1/CCNE2/GMNN/CDKN2A/CCNE1	29
R-HSA-68877	Mitotic Prometaphase	33/409	189/7708	8.833036404750272e-10	3.0356578998111275e-8	2.371865098061869e-8	PLK1/AURKB/CDC20/BIRC5/BUB1/CCNB2/ZWINT/CENPA/CDCA5/NCAPG/BUB1B/KIF2C/NCAPH/SPC24/SKA1/CCNB1/NUF2/CENPF/CDCA8/NEK2/CDK1/KNL1/CENPE/NDC80/PLK4/CENPU/SGO1/MAD2L1/CENPM/PRKAR2B/TUBA1C/TUBB1/CENPI	33
R-HSA-427359	SIRT1 negatively regulates rRNA expression	14/409	35/7708	9.38725057735544e-10	3.0356578998111275e-8	2.371865098061869e-8	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
