ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-2555396	Mitotic Metaphase and Anaphase	32/409	219/7708	1.3504024032436486e-7	2.0682478912836935e-6	1.6159940116378288e-6	PLK1/UBE2C/AURKB/CDC20/BIRC5/BUB1/CCNB2/ESPL1/ZWINT/CENPA/CDCA5/BUB1B/KIF2C/SPC24/SKA1/CCNB1/NUF2/CENPF/CDCA8/CDK1/KNL1/CENPE/NDC80/CENPU/SGO1/PTTG1/MAD2L1/FBXO5/CENPM/TUBA1C/TUBB1/CENPI	32
R-HSA-2559580	Oxidative Stress Induced Senescence	19/409	89/7708	1.412443183937778e-7	2.1259705165132412e-6	1.6610947063369873e-6	E2F2/E2F1/CDKN2C/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CDKN2A/MAPK10	19
R-HSA-9670095	Inhibition of DNA recombination at telomere	13/409	43/7708	1.8602251374435996e-7	2.752502618624174e-6	2.1506260286591485e-6	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	13
R-HSA-156711	Polo-like kinase mediated events	8/409	15/7708	2.7201629790253397e-7	3.899528363151436e-6	3.0468371366999828e-6	PLK1/FOXM1/PKMYT1/CCNB2/MYBL2/CDC25A/CCNB1/CENPF	8
R-HSA-73884	Base Excision Repair	16/409	67/7708	2.7247563591321604e-7	3.899528363151436e-6	3.0468371366999828e-6	H2BC4/H2BC7/NEIL3/FEN1/POLE2/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	16
R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	21/409	112/7708	3.234089660116039e-7	4.553806892389197e-6	3.5580477075639956e-6	CCNA2/CLSPN/RAD51/EXO1/H2BC4/H2BC7/CHEK1/POLE2/H2BC21/H2BC12/H2BC11/RAD51AP1/H2BC8/H4C8/BRCA1/H4C9/H2BC9/H2BC5/RMI2/EME1/XRCC2	21
R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	17/409	77/7708	3.8877618770203695e-7	5.303150185373098e-6	4.143535684719079e-6	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/MAFB/H4C9/H2BC9/H2BC5/MEIS1/PBX1	17
R-HSA-5619507	Activation of HOX genes during differentiation	17/409	77/7708	3.8877618770203695e-7	5.303150185373098e-6	4.143535684719079e-6	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/MAFB/H4C9/H2BC9/H2BC5/MEIS1/PBX1	17
R-HSA-68882	Mitotic Anaphase	31/409	218/7708	3.964645434472614e-7	5.324823791222449e-6	4.160470026782598e-6	PLK1/UBE2C/AURKB/CDC20/BIRC5/BUB1/CCNB2/ESPL1/ZWINT/CENPA/CDCA5/BUB1B/KIF2C/SPC24/SKA1/CCNB1/NUF2/CENPF/CDCA8/CDK1/KNL1/CENPE/NDC80/CENPU/SGO1/PTTG1/MAD2L1/CENPM/TUBA1C/TUBB1/CENPI	31
R-HSA-9645723	Diseases of programmed cell death	16/409	69/7708	4.2051693015554176e-7	5.5622921216028475e-6	4.346012292516605e-6	CDC25A/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CDKN2A	16
