source	direction	pathway_id	pathway	adjusted_pvalue	gene_ratio	gene_count	leading_genes
Reactome	upregulated	R-HSA-68616	Assembly of the ORC complex at the origin of replication	6.58469990621662e-10	16/409	16	ORC1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/ORC6/H2BC9/H2BC5
KEGG	upregulated	hsa05322	Systemic lupus erythematosus	1.2843342639597066e-9	23/317	23	8347/714/713/85235/8343/8349/85236/8970/55766/8339/8365/8357/8334/102723407/8969/3012/8294/8345/3017/712/1991/2209/8332
KEGG	upregulated	hsa04613	Neutrophil extracellular trap formation	3.6133978828512013e-8	28/317	28	8347/85235/8343/8349/85236/8970/3674/55766/6403/8339/8365/8357/8334/6300/102723407/8969/3012/8294/8345/3017/3690/2811/1991/2209/8332/7450/820/4353
KEGG	upregulated	hsa04512	ECM-receptor interaction	4.6248365443503857e-7	16/317	16	3161/6382/3674/2815/3672/3693/51206/3690/3915/2811/3679/2335/7450/3680/3673/3696
Reactome	downregulated	R-HSA-500792	GPCR ligand binding	1.0866157244725606e-5	10/50	10	CYSLTR2/GPR132/GPR18/HCAR2/ADGRE3/HCAR3/CCRL2/CXCR4/CCL4/CCL20
Reactome	downregulated	R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	1.0866157244725606e-5	9/50	9	CYSLTR2/GPR132/GPR18/HCAR2/HCAR3/CCRL2/CXCR4/CCL4/CCL20
KEGG	upregulated	hsa04610	Complement and coagulation cascades	3.413780019091596e-4	12/317	12	714/713/1191/7035/5627/712/9002/2162/7450/11326/2152/710
KEGG	downregulated	hsa04060	Cytokine-cytokine receptor interaction	4.310940150560107e-4	8/35	8	149233/51561/8807/10913/7852/3553/6351/6364
KEGG	upregulated	hsa05034	Alcoholism	5.884515089967144e-4	18/317	18	8347/85235/8343/8349/85236/8970/55766/8339/8365/8357/8334/8969/3012/8294/8345/3017/2791/8332
KEGG	upregulated	hsa04114	Oocyte meiosis	0.002819622291012251	16/317	16	5347/991/9088/699/9133/9700/891/983/151648/9232/4085/6790/26271/6300/9134/898
Reactome	downregulated	R-HSA-372790	Signaling by GPCR	0.003434506885272355	10/50	10	CYSLTR2/GPR132/GPR18/HCAR2/ADGRE3/HCAR3/CCRL2/CXCR4/CCL4/CCL20
Reactome	downregulated	R-HSA-380108	Chemokine receptors bind chemokines	0.003434506885272355	4/50	4	CCRL2/CXCR4/CCL4/CCL20
GO Biological Process	downregulated	GO:0007186	G protein-coupled receptor signaling pathway	0.0037203307022284043	13/77	13	CYSLTR2/ADGRD1/GPR132/GPR18/HCAR2/ADGRE3/HCAR3/CCRL2/CXCR4/CCL4/SORCS3/CCL20/OR2B11
KEGG	upregulated	hsa04510	Focal adhesion	0.005832515710176324	20/317	20	857/10398/1950/3674/858/3672/3693/3690/3915/4638/3679/2335/5602/1793/7450/3680/3673/5154/2012/3696
GO Biological Process	downregulated	GO:0060326	cell chemotaxis	0.006696977777500538	9/77	9	KLRC4-KLRK1/GPR18/IL23A/CCRL2/CXCR4/IL1B/CCL4/CCL20/TNFAIP6
GO Biological Process	downregulated	GO:0030595	leukocyte chemotaxis	0.006696977777500538	8/77	8	KLRC4-KLRK1/GPR18/IL23A/CXCR4/IL1B/CCL4/CCL20/TNFAIP6
KEGG	upregulated	hsa04820	Cytoskeleton in muscle cells	0.007118958954206523	19/317	19	81624/6382/10398/3674/7138/3672/3693/3690/7111/2274/255631/3679/2335/3680/7125/3673/2200/6383/3696
GO Biological Process	downregulated	GO:0006935	chemotaxis	0.008727338624217158	10/77	10	KLRC4-KLRK1/SEMA4C/GPR18/IL23A/CCRL2/CXCR4/IL1B/CCL4/CCL20/TNFAIP6
