gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
ENSG00000237356	ENSG00000237356	ENSG00000237356	NA	NA	18.22009537994726	0.27988041624961735	0.17254319315358435	0.06209088108914338	0.1260180012683347	not_significant
ENSG00000245937	ENSG00000245937	SLC12A2-DT	644873	SLC12A2 divergent transcript	163.0140702325409	-0.15981788698391192	0.08883842636905007	0.06212238509111213	0.1260324647172203	not_significant
ENSG00000196642	ENSG00000196642	RABL6	55684	RAB, member RAS oncogene family like 6	651.596002193004	0.17451678405303137	0.09777551404960964	0.06211591356384197	0.1260324647172203	not_significant
ENSG00000179295	ENSG00000179295	PTPN11	5781	protein tyrosine phosphatase non-receptor type 11	1145.2836842364386	0.10071553070588854	0.05467996148895941	0.06212163358250769	0.1260324647172203	not_significant
ENSG00000162511	ENSG00000162511	LAPTM5	7805	lysosomal protein transmembrane 5	19460.816271653308	0.2063603168079935	0.11452002539077914	0.06217644331650914	0.12612525055954518	not_significant
ENSG00000146530	ENSG00000146530	VWDE	221806	von Willebrand factor D and EGF domains	30.54956550306295	-0.41115727921316647	0.35201742566257194	0.06218438368980285	0.12612525055954518	not_significant
ENSG00000079263	ENSG00000079263	SP140	11262	SP140 nuclear body protein	827.1084224660875	0.2076462842170307	0.11903882868331613	0.0622927143420167	0.12632845181023522	not_significant
ENSG00000196684	ENSG00000196684	HSH2D	84941	hematopoietic SH2 domain containing	1611.4852290224007	0.2575210976501697	0.15625691941764466	0.06232741635193316	0.1263823019503835	not_significant
ENSG00000231770	ENSG00000231770	ENSG00000231770	NA	NA	189.7549189043365	0.1773446376397676	0.09964308278548818	0.06233762427098839	0.12638647744353332	not_significant
ENSG00000136478	ENSG00000136478	TEX2	55852	testis expressed 2	648.5862769865462	0.25935245583120975	0.15718502689958658	0.06235838132342041	0.12641203690056865	not_significant
ENSG00000148153	ENSG00000148153	INIP	58493	INTS3 and NABP interacting protein	500.3238514315833	-0.15653651891400014	0.08702119459678297	0.06237200637146323	0.1264231336671974	not_significant
ENSG00000177885	ENSG00000177885	GRB2	2885	growth factor receptor bound protein 2	6721.745540731695	0.16184859680223304	0.09014080579104355	0.0624014492308856	0.12646628479956035	not_significant
ENSG00000164291	ENSG00000164291	ARSK	153642	arylsulfatase family member K	104.15807446909707	-0.1964916408261433	0.11181908071398695	0.06241084325337428	0.126468797865147	not_significant
ENSG00000170385	ENSG00000170385	SLC30A1	7779	solute carrier family 30 member 1	665.4516029139037	0.23792618131284068	0.1406166121999402	0.06245698556038619	0.1265457669551391	not_significant
ENSG00000198521	ENSG00000198521	ZNF43	7594	zinc finger protein 43	223.97006890480088	-0.17863085820816785	0.10057664809299724	0.0625445114815541	0.12670655343245874	not_significant
ENSG00000242736	ENSG00000242736	ENSG00000242736	NA	NA	10.596619434344996	-0.3929409892548663	0.3054906605828247	0.06258709779423886	0.12675971360520302	not_significant
ENSG00000198947	ENSG00000198947	DMD	1756	dystrophin	19.56955870072006	-0.05012947234625407	0.23935484585798536	0.0625802445671581	0.12675971360520302	not_significant
ENSG00000169084	ENSG00000169084	DHRSX	207063	dehydrogenase/reductase X-linked	358.2499836144975	0.18889858810313664	0.10736175604812076	0.06262357241607419	0.12681702678852472	not_significant
ENSG00000115758	ENSG00000115758	ODC1	4953	ornithine decarboxylase 1	2050.377089494442	0.2648499095625567	0.15941021720194373	0.06264207972788888	0.1268379447231797	not_significant
ENSG00000248124	ENSG00000248124	ENSG00000248124	NA	NA	144.75495213993986	-0.23110009444600652	0.13554824735951893	0.06269565695407678	0.12692985763708794	not_significant
ENSG00000164002	ENSG00000164002	EXO5	64789	exonuclease 5	111.12376193443292	-0.15773101744132503	0.08760459342567024	0.06271777640663241	0.12695806735406795	not_significant
ENSG00000149115	ENSG00000149115	TNKS1BP1	85456	tankyrase 1 binding protein 1	89.10966053404017	-0.214804709556038	0.12445903289014744	0.06280587753575259	0.12711981737955405	not_significant
