gene_id	S061_257	S062_258	S063_259	S064_260	S065_261	S066_265	S067_270	S068_272	S069_273	S070_279	S071_280	S181_255	S182_SHXA10	S183_263	S184_SHXA18	S185_266	S186_SHXA14	S145_nCOV001_C	S147_nCoV001EUHM-Draw-1	S149_nCoV002EUHM-Draw-2	S150_nCoV003EUHM-Draw-1	S151_nCoV004EUHM-Draw-1	S152_nCoV006EUHM-Draw-1	S153_nCoV007EUHM-Draw-1	S154_nCoV0010EUHM-Draw-1	S155_nCOV021EUHM	S156_nCOV024EUHM-Draw-1	S157_nCOV0029EUHM	S175_nCoV024EUHM-Draw-2	S176_nCoV025EUHM-Draw-1	S177_nCoV025EUHM-Draw-2	S178_nCoV028EUHM-Draw-1	S179_nCoV033EUHM-Draw-1	S180_nCoV034EUHM-Draw-1
ENSG00000075426	12.005726975230221	11.087040315608304	10.880129637554486	10.821877566914662	11.239162084882397	11.538817182289197	10.988844628414233	11.188213206488637	10.722362936108421	11.301362985651194	11.082437651266583	13.157515402479786	12.614125034518231	12.746865189644884	12.501723939685307	12.96225908312353	11.829807213423834	11.28457684976072	10.550095289498916	12.319761112305473	11.916968472055096	12.437411957664192	11.919928916078828	10.410999728615556	11.57092843337974	11.789240584230349	11.279580466866868	10.925056008735362	12.500227426774892	11.665062126979908	11.00368352162923	10.175268996452122	12.198090083293081	12.669769052983597
ENSG00000270640	5.954964101312136	6.797254330079097	6.243379496482029	6.051215499767633	6.011633641383391	6.8061750914204	6.084013652111817	6.156453755591283	5.699366192033518	6.187586945169952	5.855842357772378	7.000794347812364	7.623195633168911	6.660086779098343	7.253254776315269	7.249398219632223	6.728749617787191	6.381949860539838	6.2031879575759685	6.751076208803433	6.262920064504996	6.326574742960687	6.346931240826767	6.284038637659945	6.269079329599168	5.812925009513768	5.414661447671058	6.114184671324732	6.471876893214785	6.329599936506521	6.182351285210033	5.888114677816322	6.079557333773866	7.505783858711736
ENSG00000163803	8.406812417132889	9.14521929858527	8.763659968774105	8.211357666094772	8.853501424885808	9.324890873971647	8.449242357306325	8.334319180274022	7.965382787777903	8.490904188996732	8.698372011151672	8.49481991921867	8.46471587645738	8.14689976484279	8.373174485897064	8.266915180811397	7.937111753107343	8.91474231988216	8.221771886581086	9.020143500122769	8.578011791886553	9.430143535880724	7.798855262568649	7.721952211353054	9.802720514559484	9.246458448005717	9.603612703298351	7.861296029650346	9.39702396811529	7.051516286600703	6.8292801501136555	6.991851328717125	6.406477482898105	7.736113503637338
ENSG00000226833	6.517778847085994	7.0287117214004375	6.973823965071023	7.097032260141515	6.011633641383391	7.12280242682428	7.417154470239525	6.156453755591283	6.057658948628516	6.375819364252271	6.52559348798719	6.325909108074916	6.078505943592131	6.028995283771375	6.121009647311375	6.488359256464662	6.492559217560272	6.585320812314695	5.826059123571128	6.248172304686095	6.174783149337839	5.618504173310995	5.91329037262502	6.284038637659945	6.0799023388151445	5.548189508205093	6.026681009060668	6.053318173403421	6.404288475430207	5.755444177813052	6.098699697222636	6.226957414147586	5.9974776485520245	6.058735718065244
ENSG00000213639	10.939462867440557	11.008650599954018	11.636971888123783	11.171174075842648	11.61738839073294	11.723158158289388	11.405204029960244	11.787752748068087	11.700423711783765	11.782442553211117	11.362769663099726	12.505856508064653	12.20453095700579	11.954935802443476	11.89645040084474	12.54708112786802	11.936725337033145	11.615273785747814	10.943705502756364	11.346345422589563	11.317439894005938	11.779381621292389	10.995452446815229	10.937065372580154	11.76906479315057	11.768175035587102	10.809622013087791	11.035972229038917	11.193746714679355	11.702534139636603	11.383629004292258	11.39599521945677	11.184454708537759	11.892848185674472
ENSG00000163806	5.556919368874937	5.015595463066692	5.045974726966505	5.208338576581304	4.9500225698206295	4.967746445218012	5.478390029850535	5.061476054406584	5.182857286200308	5.3278267175581595	5.467929491181661	6.110942335087856	5.980000037604609	6.009595197390929	6.476890159717264	6.319644834850005	6.331695313144224	5.340576770310534	4.87263786866244	4.938586566410493	5.114339772154387	5.486894779103533	5.391072777791728	4.8511214492872945	5.293393375358117	4.657494280150425	4.976750864721335	5.037630278588986	5.182455059376968	5.126756212983703	4.760275043647463	5.3546617279283915	4.9177593313417916	5.67306744143749
ENSG00000171103	8.334976870733968	8.187957477225783	8.1991810259298	8.085638577794017	7.914312154364147	8.005806620120465	8.033764953379407	7.896693508982624	7.900826136238841	7.956964706123859	8.11607999816112	7.810172507864481	7.824980654127688	8.09130386182573	8.003010849189343	7.797890705240033	8.011135709111034	7.833281417634152	8.382557517707546	7.521208734157171	7.751253466005018	7.759947082274476	7.992739280573208	8.169824685056803	7.655987512924437	7.694735212650516	7.542473300400832	8.113556044838354	7.5481569734225475	7.709302450116682	7.9662560750331	8.04489573972816	7.770404367974324	7.934381294877296
ENSG00000163811	10.072028331810044	9.604094565908431	9.849298292982386	9.784185537501825	9.912150916838142	9.517534461595227	9.956986357888114	9.650542502464512	10.021632583066403	10.017648635449572	10.154046125957528	10.183338174812544	10.134873707684617	10.338410095556698	10.443966302925375	10.012845531647791	10.165350252588627	9.674905571963762	10.116164331111904	9.908529478876694	10.370839957716129	10.162150225551038	9.932432068716544	10.202148734967812	9.96432514040577	10.367355974299535	10.040795431759994	10.098061304595644	9.571205268091303	9.898318853437733	9.767058972865899	10.07422263520424	10.410965195472707	10.759725171790823
ENSG00000189350	6.96859813036363	7.260583610513575	7.173032183428042	6.969135633017455	6.790746358141469	6.968337659215026	7.529091797190372	7.198379392035807	6.790922533424176	7.6618520513210076	8.111469367105668	6.627056682099238	6.766827001701639	7.425954685761041	7.253254776315269	7.934571238094881	6.398361330294141	6.894270530380893	7.87987052927899	7.0251655642563415	7.6853213387989285	6.326574742960687	7.618765056257505	7.754961296114205	7.456943726031822	6.505437669285965	7.13242792816866	6.773545393801418	6.802175244882909	6.712452945682884	7.249733932574473	7.42818811707934	7.303009815762552	7.175481840136289
ENSG00000115295	9.806453723990192	10.134853257118344	9.959853523454722	9.809901425888029	10.264183753111784	10.1847034725555	9.917973526722745	9.969256775367537	9.839188374499734	10.164416198654742	10.002153617194418	10.330980334081831	10.520831962268462	10.286198935883904	10.105480745828128	10.467695802828839	10.46059069245778	9.831750125719775	9.695064356003734	9.678711586395254	9.571751123214069	9.82504207342869	9.932432068716544	9.71033890623788	10.58373773056172	8.954591470464786	10.196398601868294	9.874687622458143	9.884955861692756	9.874797794870513	9.806780973768914	9.952431013749335	9.508719209412613	9.640226087242628
